Name,GS Profile Name,Scholar ID,Document Count,Cited by,Cited by 5 years,h-index,h-index 5 years,i10-index,i10-index 5 years,Coauthors,Affiliation,Warning
Tim H. Murphy,Tim H. Murphy,qJjM8hkAAAAJ,238,21280,7435,75,47,153,111,"{'Andy Shih': 9, 'Lynn Raymond': 18, 'Craig E. Brown': 6, 'Jeffrey LeDue': 40, 'Terry Snutch': 1, 'Yu Tian Wang': 4, 'Brian MacVicar': 3, 'Wolfram Tetzlaff': 2, 'Helge Rhodin': 2, 'Peter Cripton': 1, 'Mark Cembrowski': 1}",University of British Columbia,
Annie Ciernia,Annie Vogel Ciernia,XAGfOIIAAAAJ,44,1987,1531,19,19,25,23,{'Brian MacVicar': 1},"University of British Columbia, Vancouver",
Brian MacVicar,Brian MacVicar,Sx3420cAAAAJ,218,22331,8614,78,42,140,86,"{'Tim H. Murphy': 3, 'Jeffrey LeDue': 13, 'Annie Ciernia': 1, 'Terry Snutch': 9, 'Anthony Phillips': 1, 'Shernaz Bamji': 1, 'Yu Tian Wang': 1, 'Silke Cresswell': 1, 'Leigh Anne Swayne': 1, 'Fabio Rossi': 1, 'Ian Mackenzie': 1}","Professor, University of British Columbia",
Fidel Vila-Rodriguez,Fidel Vila-Rodriguez,VynxFpEAAAAJ,264,5779,4651,37,35,95,90,"{'Z. Jane Wang': 1, 'Sophia Frangou': 6, 'Jason Snyder': 2, 'Silke Cresswell': 1, 'Ian Mackenzie': 1, 'Todd Woodward': 1}",Assistant Professor; University of British Columbia,
Shernaz Bamji,Shernaz Bamji,C832lNEAAAAJ,61,5350,1706,33,24,38,36,"{'Brian MacVicar': 1, 'Ian Mackenzie': 1, 'Lynn Raymond': 2, 'Terry Snutch': 1, 'Paul Pavlidis': 2, 'Kurt Haas': 6, 'Catharine Rankin': 2, 'Anthony Phillips': 1}","Professor, University of British Columbia",
Lara Boyd,Lara Boyd,yutn3mwAAAAJ,360,15294,9564,65,50,162,144,"{'Martin McKeown': 2, 'A Jon Stoessl': 2, 'Silke Cresswell': 1, 'Vesna Sossi': 2, 'Todd Woodward': 3, 'Liisa Galea': 1}","Professor, University of British Columbia",
Paul Pavlidis,Paul Pavlidis,ataejQQAAAAJ,245,17766,6604,70,47,139,115,"{'Shernaz Bamji': 2, 'Kurt Haas': 6, 'Catharine Rankin': 6, 'Terry Snutch': 1, 'Sophia Frangou': 1, 'Vesna Sossi': 1}","Professor of Psychiatry, University of British Columbia",
Martin McKeown,Martin J. McKeown,cBAT2tQAAAAJ,369,16589,6255,48,36,150,105,"{'Lara Boyd': 2, 'A Jon Stoessl': 29, 'Silke Cresswell': 33, 'Vesna Sossi': 21, 'Z. Jane Wang': 72, 'Brian D. Fisher': 1, 'Peyman Servati': 1, 'Catharine Winstanley': 1}","Professor and Head, Division of Neurology, University of British Columbia",
A Jon Stoessl,A Jon Stoessl OR jon Stoessl,KnhWIqwAAAAJ,449,30896,10285,78,47,235,147,"{'Lara Boyd': 2, 'Martin McKeown': 29, 'Silke Cresswell': 25, 'Vesna Sossi': 134, 'Catharine Winstanley': 3, 'Anthony Phillips': 2, 'Ian Mackenzie': 6, 'Terry Snutch': 1}",University of British Columbia,
Peter Cripton,Peter Cripton,hm6fJTkAAAAJ,284,7752,3870,46,32,115,90,"{'Tim H. Murphy': 1, 'Mark Cembrowski': 1, 'Jeffrey LeDue': 1, 'Wolfram Tetzlaff': 14, 'Catharine Winstanley': 1}","Professor of Biomedical Engineering, University of British Columbia",
Jason Snyder,Jason S. Snyder,B6Fe4-4AAAAJ,40,6055,2334,21,19,28,28,{'Fidel Vila-Rodriguez': 2},"Associate Professor, University of British Columbia",
Wolfram Tetzlaff,Wolfram Tetzlaff,HgUvr-IAAAAJ,315,24587,7123,80,44,187,118,"{'Tim H. Murphy': 2, 'Peter Cripton': 14, 'Fabio Rossi': 1, 'Jane Roskams': 9, 'Silke Cresswell': 1}",Professor and Principal Investigator ICORD (International Collaboration on Repair Discoveries,
Anthony Phillips,Anthony Phillips,cHBZKa4AAAAJ,428,37186,8444,103,41,287,126,"{'Brian MacVicar': 1, 'Shernaz Bamji': 1, 'A Jon Stoessl': 2, 'Vesna Sossi': 2, 'Jeremy Seamans': 15, 'Yu Tian Wang': 11, 'Todd Woodward': 1, 'Catharine Winstanley': 1, 'Terry Snutch': 3}",University of British Columbia,
Catharine Winstanley,Catharine A. Winstanley,62UFkZcAAAAJ,184,11299,4732,47,38,96,90,"{'Martin McKeown': 1, 'A Jon Stoessl': 3, 'Silke Cresswell': 1, 'Peter Cripton': 1, 'Anthony Phillips': 1, 'Vesna Sossi': 3, 'Jeremy Seamans': 1}",University of British Columbia,
Yu Tian Wang,Yu Tian Wang,oUJOq0EAAAAJ,200,42124,15890,78,56,149,123,"{'Tim H. Murphy': 4, 'Jeffrey LeDue': 2, 'Brian MacVicar': 1, 'Anthony Phillips': 11, 'Jeremy Seamans': 1, 'Lynn Raymond': 3, 'Catharine Rankin': 1}",University of British Columbia,
Jeremy Seamans,Jeremy K Seamans,cDn0toMAAAAJ,107,15819,4052,50,34,65,53,"{'Anthony Phillips': 15, 'Yu Tian Wang': 1, 'Catharine Winstanley': 1, 'Todd Woodward': 1}",University of British Columbia,
Terry Snutch,Snutch,mTkQFQ8AAAAJ,462,34255,10122,92,45,223,142,"{'Tim H. Murphy': 1, 'Brian MacVicar': 9, 'Jeffrey LeDue': 3, 'Ian Mackenzie': 1, 'Shernaz Bamji': 1, 'Paul Pavlidis': 1, 'A Jon Stoessl': 1, 'Anthony Phillips': 3, 'Catharine Rankin': 1}",University of British Columbia,
Ian Mackenzie,Ian Mackenzie,Hx14DYYAAAAJ,498,59250,25741,103,67,235,194,"{'Brian MacVicar': 1, 'Terry Snutch': 1, 'Fidel Vila-Rodriguez': 1, 'Shernaz Bamji': 1, 'Lynn Raymond': 3, 'A Jon Stoessl': 6, 'Vesna Sossi': 6}","Division of Neuropathology, Department of Pathology and Lab Medicine, University of British Columbia",
Lynn Raymond,Lynn A Raymond,VyLG_CgAAAAJ,171,19858,6229,75,39,123,100,"{'Tim H. Murphy': 18, 'Shernaz Bamji': 2, 'Ian Mackenzie': 3, 'Yu Tian Wang': 3, 'Jeffrey LeDue': 1}","Professor of Psychiatry, University of British Columbia, Huntington Study Group, Predict-HD",
Kurt Haas,Kurt Haas,zLPRoXUAAAAJ,74,3714,901,26,17,37,22,"{'Shernaz Bamji': 6, 'Paul Pavlidis': 6, 'Catharine Rankin': 5}","Full Professor of Neuroscience, University of British Columbia",
Mark Cembrowski,Mark S. Cembrowski,f_ILrbMAAAAJ,35,2018,1672,17,16,19,19,"{'Tim H. Murphy': 1, 'Peter Cripton': 1, 'Jeffrey LeDue': 1}","Assistant Professor, University of British Columbia",
Fabio Rossi,Fabio MV Rossi,K1VQtgwAAAAJ,140,17013,6947,55,39,99,79,"{'Brian MacVicar': 1, 'Wolfram Tetzlaff': 1}","Professor of Medical Genetics, University of British Columbia",
Jane Roskams,A. Jane Roskams,nzIRBZ0AAAAJ,68,6142,995,40,20,51,36,{'Wolfram Tetzlaff': 9},University of British Columbia/Washington,
Catharine Rankin,Rankin Catharine H,KM6fM-MAAAAJ,209,7576,3462,42,30,81,61,"{'Shernaz Bamji': 2, 'Paul Pavlidis': 6, 'Kurt Haas': 5, 'Yu Tian Wang': 1, 'Terry Snutch': 1, 'Liisa Galea': 1}",University of British Columbia,
Michael Gordon,Michael Gordon,WVStjbgAAAAJ,34,4117,1541,20,16,25,22,,University of British Columbia,
Leonid Sigal,Leonid Sigal,P2mG6rcAAAAJ,230,13418,7035,56,44,123,106,{'Helge Rhodin': 1},"Professor, University of British Columbia",
Z. Jane Wang,Z. Jane Wang,W75uTm8AAAAJ,449,13900,9202,56,44,220,172,"{'Fidel Vila-Rodriguez': 1, 'Martin McKeown': 72, 'Silke Cresswell': 4, 'Peyman Servati': 2, 'Helge Rhodin': 1}","Professor of Electrical and Computer Engineering Dept., University of British Columbia, Canada",
Peyman Servati,Peyman Servati,bl8U3JoAAAAJ,294,9527,4368,44,31,116,68,"{'Martin McKeown': 1, 'Z. Jane Wang': 2}","Electrical and Computer Engineering, University of British Columbia",
Liisa Galea,Liisa Galea,Q--hI3oAAAAJ,297,22475,8816,81,52,174,148,"{'Lara Boyd': 1, 'Catharine Rankin': 1, 'Sophia Frangou': 1}","Treliving Family Chair in Women's Mental Health, Senior Scientist, Centre for Addiction and Mental",
Sophia Frangou,Sophia Frangou,iRcTmwkAAAAJ,637,26783,11172,87,52,248,202,"{'Fidel Vila-Rodriguez': 6, 'Paul Pavlidis': 1, 'Vesna Sossi': 1, 'Liisa Galea': 1, 'Eric Shea-Brown': 1, 'Randy Mcintosh': 1}",Icahn School of Medicine at Mount SInai,
Silke Cresswell,Silke Appel-Cresswell,OrRZGCQAAAAJ,98,4411,2551,24,21,33,32,"{'Brian MacVicar': 1, 'Fidel Vila-Rodriguez': 1, 'Lara Boyd': 1, 'Martin McKeown': 33, 'A Jon Stoessl': 25, 'Vesna Sossi': 15, 'Z. Jane Wang': 4, 'Catharine Winstanley': 1, 'Wolfram Tetzlaff': 1}","Associate Professor, University of British Columbia",
Helge Rhodin,Helge Rhodin,2maWWboAAAAJ,83,4671,4484,26,25,37,37,"{'Tim H. Murphy': 2, 'Jeffrey LeDue': 1, 'Leonid Sigal': 1, 'Z. Jane Wang': 1}",Assistant Professor at UBC,
Manu Madhav,Manu S Madhav,OzV0TFoAAAAJ,27,417,311,9,8,9,8,,"Assistant Professor, University of British Columbia",
Brian D. Fisher,Brian D. Fisher,1NGZwzoAAAAJ,187,3542,1441,31,20,52,32,{'Martin McKeown': 1},"Professor of Interactive Arts and Technology, Simon Fraser University",
Leigh Anne Swayne,Leigh Anne Swayne,6N7x3_wAAAAJ,65,2040,1084,27,21,43,33,"{'Brian MacVicar': 1, 'Craig E. Brown': 1}","Professor, University of Victoria",
Craig E. Brown,Craig E. Brown,JpTDgvYAAAAJ,39,2966,1343,23,19,31,23,"{'Tim H. Murphy': 6, 'Leigh Anne Swayne': 1}","University of Victoria, University of British Columbia",
Adrienne Fairhall,Adrienne Fairhall,Qd2_0VkAAAAJ,119,5935,2835,37,24,58,47,{'Eric Shea-Brown': 3},"Professor of Physiology and Biophysics, University of Washington",
Eric Shea-Brown,Eric Shea-Brown,GyvbrjcAAAAJ,197,7880,3749,41,31,78,62,"{'Sophia Frangou': 1, 'Adrienne Fairhall': 3}","Applied Mathematics, University of Washington",
Emily Sylwestrak,Emily Sylwestrak,gKtP4d4AAAAJ,16,1881,1359,10,10,10,10,,University of Oregon,Affiliation does not match!
Andy Shih,Andy Y. Shih,NcqRyesAAAAJ,86,8041,4590,41,35,59,54,{'Tim H. Murphy': 9},Seattle Children's Research Institute & University of Washington,
Todd Woodward,Todd S. Woodward,72W33RkAAAAJ,296,13835,6028,66,40,162,126,"{'Fidel Vila-Rodriguez': 1, 'Lara Boyd': 3, 'Anthony Phillips': 1, 'Jeremy Seamans': 1, 'Vesna Sossi': 1}","Professor, University of British Columbia",
Jeffrey LeDue,Jeffrey LeDue,1ffeRR4AAAAJ,71,2629,1915,27,24,38,34,"{'Tim H. Murphy': 40, 'Brian MacVicar': 13, 'Yu Tian Wang': 2, 'Helge Rhodin': 1, 'Peter Cripton': 1, 'Mark Cembrowski': 1, 'Terry Snutch': 3, 'Lynn Raymond': 1}",University of British Columbia,
Ilker Hacihaliloglu,Ilker Hacihaliloglu,dA7G64kAAAAJ,116,2607,2159,24,20,48,40,{'Purang Abolmaesumi': 11},"Department of Radiology, Department of Medicine, University of British Columbia",
Randy Mcintosh,Anthony Randal McIntosh,Ep3N640AAAAJ,474,47901,16267,111,66,275,202,{'Sophia Frangou': 1},"Professor, Simon Fraser University",
Purang Abolmaesumi,Purang Abolmaesumi,gKZS5-IAAAAJ,462,9864,5514,50,39,213,139,{'Ilker Hacihaliloglu': 11},"Department of Electrical and Computer Engineering, University of British Columbia, V6T 1Z4",
Vesna Sossi,Vesna Sossi,5VQTWXgAAAAJ,500,18372,7341,61,43,188,134,"{'Lara Boyd': 2, 'Martin McKeown': 21, 'A Jon Stoessl': 134, 'Silke Cresswell': 15, 'Paul Pavlidis': 1, 'Sophia Frangou': 1, 'Anthony Phillips': 2, 'Ian Mackenzie': 6, 'Catharine Winstanley': 3, 'Todd Woodward': 1}",Unknown affiliation,
